response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0353,0.0002,0.0000,0.0001,0.0348,0.0001,200,0.0010
0.0353,0.0001,0.0000,0.0000,0.0350,0.0001,200,0.0011
0.0360,0.0002,0.0000,0.0001,0.0357,0.0001,200,0.0010
0.0369,0.0002,0.0000,0.0000,0.0365,0.0000,200,0.0010
0.0373,0.0002,0.0000,0.0001,0.0369,0.0000,200,0.0010
0.0414,0.0001,0.0000,0.0000,0.0410,0.0001,200,0.0010
0.0488,0.0001,0.0000,0.0001,0.0484,0.0001,200,0.0010
0.0494,0.0003,0.0000,0.0000,0.0489,0.0001,200,0.0010
0.0368,0.0001,0.0000,0.0000,0.0365,0.0001,200,0.0364
0.0376,0.0001,0.0000,0.0000,0.0374,0.0000,200,0.0371
0.0378,0.0001,0.0000,0.0000,0.0377,0.0000,200,0.0379
0.0382,0.0001,0.0000,0.0000,0.0380,0.0000,200,0.0383
0.0366,0.0002,0.0000,0.0001,0.0362,0.0001,200,0.0498
0.0519,0.0001,0.0000,0.0000,0.0517,0.0001,200,0.0365
0.0494,0.0001,0.0000,0.0000,0.0492,0.0001,200,0.0425
0.0482,0.0001,0.0000,0.0000,0.0479,0.0001,200,0.0504
0.0377,0.0002,0.0000,0.0000,0.0373,0.0002,200,0.0732
0.0372,0.0001,0.0000,0.0000,0.0370,0.0001,200,0.0765
0.0389,0.0001,0.0000,0.0000,0.0387,0.0000,200,0.0758
0.0454,0.0001,0.0000,0.0000,0.0452,0.0001,200,0.0747
0.0466,0.0002,0.0000,0.0001,0.0463,0.0001,200,0.0865
0.0455,0.0002,0.0000,0.0000,0.0452,0.0001,200,0.0884
0.0433,0.0001,0.0000,0.0000,0.0431,0.0000,200,0.0919
0.0448,0.0001,0.0000,0.0001,0.0444,0.0001,200,0.0987
0.0359,0.0002,0.0000,0.0001,0.0355,0.0001,200,0.1110
0.0421,0.0001,0.0000,0.0001,0.0419,0.0001,200,0.1137
0.0414,0.0001,0.0000,0.0000,0.0412,0.0001,200,0.1147
0.0409,0.0001,0.0000,0.0001,0.0405,0.0001,200,0.1200
0.0379,0.0001,0.0000,0.0000,0.0376,0.0001,200,0.1331
0.0414,0.0001,0.0000,0.0000,0.0412,0.0001,200,0.1339
0.0427,0.0001,0.0000,0.0000,0.0425,0.0001,200,0.1352
0.0419,0.0002,0.0000,0.0000,0.0416,0.0001,200,0.1434
0.0404,0.0002,0.0000,0.0001,0.0401,0.0001,200,0.1469
0.0387,0.0002,0.0000,0.0001,0.0383,0.0001,200,0.1558
0.0384,0.0001,0.0000,0.0000,0.0381,0.0001,200,0.1609
0.0508,0.0001,0.0000,0.0000,0.0506,0.0001,200,0.1561
0.0404,0.0002,0.0000,0.0001,0.0400,0.0001,200,0.1710
0.0382,0.0001,0.0000,0.0000,0.0379,0.0001,200,0.1753
0.0438,0.0001,0.0000,0.0000,0.0435,0.0001,200,0.1779
0.0365,0.0002,0.0000,0.0000,0.0362,0.0001,200,0.1854
0.0437,0.0001,0.0000,0.0000,0.0434,0.0001,200,0.1873
0.0398,0.0002,0.0000,0.0001,0.0395,0.0001,200,0.1945
0.0387,0.0001,0.0000,0.0000,0.0384,0.0001,200,0.1993
0.0388,0.0001,0.0000,0.0000,0.0385,0.0001,200,0.2135
0.0459,0.0002,0.0000,0.0001,0.0455,0.0000,200,0.2069
0.0365,0.0001,0.0000,0.0000,0.0363,0.0001,200,0.2219
0.0409,0.0002,0.0000,0.0000,0.0405,0.0001,200,0.2217
0.0519,0.0001,0.0000,0.0000,0.0516,0.0000,200,0.2115
0.0336,0.0001,0.0000,0.0000,0.0334,0.0001,200,0.2343
0.0360,0.0001,0.0000,0.0000,0.0357,0.0001,200,0.2380
0.0443,0.0002,0.0000,0.0001,0.0438,0.0001,200,0.2310
0.0402,0.0003,0.0000,0.0001,0.0397,0.0001,200,0.2524
0.0382,0.0001,0.0000,0.0001,0.0380,0.0001,200,0.2584
0.0455,0.0001,0.0000,0.0000,0.0453,0.0000,200,0.2528
0.0365,0.0001,0.0000,0.0000,0.0362,0.0001,200,0.2740
0.0496,0.0002,0.0000,0.0000,0.0493,0.0000,200,0.2626
0.0496,0.0001,0.0000,0.0000,0.0494,0.0000,200,0.2634
0.0450,0.0002,0.0000,0.0000,0.0446,0.0001,200,0.2680
0.0479,0.0001,0.0000,0.0000,0.0476,0.0001,200,0.2752
0.0387,0.0002,0.0000,0.0000,0.0383,0.0001,200,0.2926
0.0413,0.0001,0.0000,0.0000,0.0411,0.0001,200,0.2983
0.0470,0.0001,0.0000,0.0000,0.0468,0.0001,200,0.2967
0.0317,0.0001,0.0000,0.0000,0.0315,0.0000,200,0.3130
0.0451,0.0002,0.0000,0.0001,0.0448,0.0001,200,0.3105
0.0438,0.0001,0.0000,0.0000,0.0436,0.0000,200,0.3130
0.0462,0.0001,0.0000,0.0000,0.0460,0.0000,200,0.3122
0.0396,0.0002,0.0000,0.0001,0.0392,0.0001,200,0.3231
0.0392,0.0002,0.0000,0.0001,0.0387,0.0001,200,0.3313
0.0384,0.0002,0.0000,0.0001,0.0380,0.0001,200,0.3397
0.0445,0.0001,0.0000,0.0000,0.0442,0.0001,200,0.3437
0.0455,0.0001,0.0000,0.0000,0.0453,0.0001,200,0.3446
0.0391,0.0001,0.0000,0.0000,0.0388,0.0002,200,0.3567
0.0395,0.0001,0.0000,0.0000,0.0393,0.0001,200,0.3584
0.0380,0.0002,0.0000,0.0001,0.0377,0.0001,200,0.3627
0.0452,0.0002,0.0000,0.0001,0.0448,0.0000,200,0.3557
0.0429,0.0002,0.0000,0.0001,0.0424,0.0001,200,0.3704
0.0455,0.0002,0.0000,0.0000,0.0452,0.0001,200,0.3781
0.0503,0.0002,0.0000,0.0001,0.0499,0.0001,200,0.3882
0.0485,0.0002,0.0000,0.0001,0.0481,0.0001,200,0.3901
0.0433,0.0002,0.0000,0.0001,0.0429,0.0001,200,0.4008
0.0474,0.0001,0.0000,0.0001,0.0471,0.0000,200,0.3979
0.0447,0.0002,0.0000,0.0000,0.0444,0.0001,200,0.4008
0.0333,0.0001,0.0000,0.0001,0.0330,0.0000,200,0.4133
0.0513,0.0002,0.0000,0.0001,0.0510,0.0001,200,0.3958
0.0419,0.0001,0.0000,0.0001,0.0415,0.0001,200,0.4236
0.0387,0.0001,0.0000,0.0000,0.0384,0.0001,200,0.4387
0.0350,0.0001,0.0000,0.0000,0.0348,0.0001,200,0.4466
0.0346,0.0001,0.0000,0.0000,0.0344,0.0001,200,0.4471
0.0456,0.0002,0.0000,0.0001,0.0452,0.0001,200,0.4385
0.0449,0.0002,0.0000,0.0001,0.0444,0.0001,200,0.4440
0.0504,0.0001,0.0000,0.0000,0.0502,0.0001,200,0.4453
0.0512,0.0001,0.0000,0.0000,0.0510,0.0001,200,0.4456
